Study_Hours,Grade
7,13.673103176553113
4,10.093126664489526
13,16.905359694349446
11,16.669901149670036
8,13.34561632402206
13,19.152967485799337
5,9.446920359183972
7,11.808506780103349
10,14.411837770301764
3,6.504727577801821
7,12.744180415596865
11,16.291582908269834
11,15.907670184963692
8,12.848119299937279
5,8.376943886924378
4,8.969032015851962
8,12.685928225209846
8,11.99658409616757
3,8.458071432500986
6,12.006076285221807
5,13.329278851815795
2,8.061866719247758
8,13.586325586084145
12,16.68833112635075
14,15.72184317705144
6,11.360229186826174
2,7.8903453149115395
12,20.0
5,10.211458552828317
1,7.352321013500419
12,16.747932345442134
10,13.246982943570702
6,13.11423422177253
13,18.827899549030164
12,17.986547920564572
9,12.73591881780789
1,9.00419146640415
11,13.797223405811579
11,16.780285640700406
10,18.28568343871497
12,15.314195512303968
12,15.950553405595842
14,18.749477047631462
14,17.844786518825703
14,16.274004853400804
3,8.802844462209041
12,15.206544429410844
7,13.010388645952773
4,8.220863648649296
9,16.42490160752631
3,7.5251200614956435
5,10.016907725691487
3,9.920275826054503
7,10.453703525349068
5,10.841189901906194
9,16.06071413142364
7,9.88877514815816
2,8.076950787798456
4,9.989824191372636
9,15.272734307665965
12,14.944573933682879
14,16.619315080373585
2,8.582912348425346
10,15.445477009849778
9,14.475739275518814
10,15.519672314245463
5,9.479962917632264
2,8.148380545741505
4,10.039608709948022
12,15.728472872960449
12,19.598661766717136
7,13.010749381367681
12,15.013044754196027
13,18.68483041295075
8,11.737977494659017
3,9.880626905613678
14,20.0
1,5.668976522472435
4,11.045064193866482
2,8.419171390404747
8,14.433090239991735
4,12.445189473980921
2,7.431917825995694
14,17.46939575346377
6,10.065728355561715
6,10.176284572551843
10,14.884347435878844
4,10.111727962224965
6,11.81503619899503
13,18.940774873554037
2,7.81950283781686
10,17.180301115735976
12,16.40301475014307
2,11.880253749884428
10,15.93850102164751
14,17.314263665375577
4,7.993661252908331
14,19.32370862286478
8,12.864805822011222
14,19.67100074113814
7,13.009856436860318
12,16.690756631014693
9,12.829809422897393
14,16.327729162971202
8,12.530227571899468
5,11.784598191485209
13,18.021140616195307
2,5.931391831932018
5,10.759771388776773
8,13.777976069593254
10,13.6742138456983
9,14.330587658918292
12,16.887313077669
12,15.085544553254067
12,17.336681040522425
13,18.541176789552356
9,15.724576864762914
13,19.28070307805236
13,15.633495948064366
1,5.4932624401273165
9,14.87255290081299
7,13.070678926368315
9,14.872571529459071
8,18.97909723598208
1,7.756335766039751
12,18.5033484602709
8,14.631002645239803
8,14.177086876958697
11,15.427096133039482
3,9.838453830739901
1,5.740762178193643
8,12.844772089889986
3,7.971954678256344
3,8.822811209079482
1,10.371987850010264
11,13.099102211112378
5,11.529390285561771
10,12.580926193215522
7,11.59210220131585
10,16.633425895451047
9,14.196420028643194
12,15.183382833106041
7,11.227044436110049
9,15.119396623402013
8,12.104450052424294
12,17.124687884372964
2,7.86835775985572
1,5.922599478591275
7,15.51591613398799
7,13.250878533477017
14,15.56228612001359
8,13.479681472154141
5,9.507320302847418
3,9.978650002194335
12,15.61121889235095
8,13.02789533779965
6,12.157480918470686
11,17.198632791255182
3,6.899555389416335
1,6.398248146238577
3,7.987582033258565
5,9.520006151139432
14,20.0
3,9.307472566441433
1,5.008674068497433
5,11.876792920582163
10,18.18323429551895
7,13.84869789082672
14,16.320945051068982
7,11.573648890700623
11,17.800366723779934
9,13.038495801571829
10,15.665729142219343
10,16.161951080144004
12,15.409604292632876
13,17.610711965907303
3,3.83809898989639
7,10.763418537998566
1,6.52114777291026
4,7.728325227052725
13,20.0
4,7.45478793305905
14,17.939933269954526
5,10.696110865929137
7,14.461909933599173
7,10.14620677323084
13,19.444745628232443
11,15.915349591529381
13,16.227737023428077
4,10.293155211394906
13,17.998589543360207
7,11.399674684261809
11,16.00470312748503
3,8.12202960470736
6,11.570276017876873
12,17.79319601178157
2,10.179025224218028
10,13.143276751759727
13,20.0
14,15.671868300716248
