Grade,Absences,Result
13.673103176553113,4,PASS
10.093126664489526,11,FAIL
16.905359694349446,2,PASS
16.669901149670036,0,PASS
13.34561632402206,0,PASS
19.152967485799337,7,FAIL
9.446920359183972,9,FAIL
11.808506780103349,10,FAIL
14.411837770301764,11,FAIL
6.504727577801821,11,FAIL
12.744180415596865,1,PASS
16.291582908269834,2,PASS
15.907670184963692,1,PASS
12.848119299937279,2,PASS
8.376943886924378,6,FAIL
8.969032015851962,0,FAIL
12.685928225209846,9,FAIL
11.99658409616757,7,FAIL
8.458071432500986,9,FAIL
12.006076285221807,9,FAIL
13.329278851815795,9,FAIL
8.061866719247758,1,FAIL
13.586325586084145,2,PASS
16.68833112635075,8,FAIL
15.72184317705144,6,FAIL
11.360229186826174,3,PASS
7.8903453149115395,9,FAIL
20.0,4,PASS
10.211458552828317,1,PASS
7.352321013500419,10,FAIL
16.747932345442134,7,FAIL
13.246982943570702,3,PASS
13.11423422177253,8,FAIL
18.827899549030164,4,PASS
17.986547920564572,8,FAIL
12.73591881780789,3,PASS
9.00419146640415,9,FAIL
13.797223405811579,4,PASS
16.780285640700406,8,FAIL
18.28568343871497,7,FAIL
15.314195512303968,2,PASS
15.950553405595842,0,PASS
18.749477047631462,2,PASS
17.844786518825703,3,PASS
16.274004853400804,1,PASS
8.802844462209041,0,FAIL
15.206544429410844,6,FAIL
13.010388645952773,7,FAIL
8.220863648649296,6,FAIL
16.42490160752631,4,PASS
7.5251200614956435,11,FAIL
10.016907725691487,0,PASS
9.920275826054503,6,FAIL
10.453703525349068,6,FAIL
10.841189901906194,8,FAIL
16.06071413142364,2,PASS
9.88877514815816,8,FAIL
8.076950787798456,0,FAIL
9.989824191372636,0,FAIL
15.272734307665965,3,PASS
14.944573933682879,8,FAIL
16.619315080373585,5,PASS
8.582912348425346,10,FAIL
15.445477009849778,2,PASS
14.475739275518814,0,PASS
15.519672314245463,3,PASS
9.479962917632264,11,FAIL
8.148380545741505,8,FAIL
10.039608709948022,2,PASS
15.728472872960449,11,FAIL
19.598661766717136,8,FAIL
13.010749381367681,6,FAIL
15.013044754196027,11,FAIL
18.68483041295075,3,PASS
11.737977494659017,2,PASS
9.880626905613678,9,FAIL
20.0,4,PASS
5.668976522472435,4,FAIL
11.045064193866482,2,PASS
8.419171390404747,11,FAIL
14.433090239991735,8,FAIL
12.445189473980921,3,PASS
7.431917825995694,10,FAIL
17.46939575346377,4,PASS
10.065728355561715,3,PASS
10.176284572551843,4,PASS
14.884347435878844,6,FAIL
10.111727962224965,8,FAIL
11.81503619899503,6,FAIL
18.940774873554037,4,PASS
7.81950283781686,9,FAIL
17.180301115735976,9,FAIL
16.40301475014307,6,FAIL
11.880253749884428,9,FAIL
15.93850102164751,4,PASS
17.314263665375577,2,PASS
7.993661252908331,6,FAIL
19.32370862286478,10,FAIL
12.864805822011222,10,FAIL
19.67100074113814,1,PASS
13.009856436860318,11,FAIL
16.690756631014693,8,FAIL
12.829809422897393,9,FAIL
16.327729162971202,9,FAIL
12.530227571899468,11,FAIL
11.784598191485209,0,PASS
18.021140616195307,5,PASS
5.931391831932018,6,FAIL
10.759771388776773,7,FAIL
13.777976069593254,9,FAIL
13.6742138456983,8,FAIL
14.330587658918292,1,PASS
16.887313077669,10,FAIL
15.085544553254067,9,FAIL
17.336681040522425,1,PASS
18.541176789552356,4,PASS
15.724576864762914,4,PASS
19.28070307805236,5,PASS
15.633495948064366,2,PASS
5.4932624401273165,7,FAIL
14.87255290081299,0,PASS
13.070678926368315,5,PASS
14.872571529459071,3,PASS
18.97909723598208,0,PASS
7.756335766039751,6,FAIL
18.5033484602709,8,FAIL
14.631002645239803,3,PASS
14.177086876958697,3,PASS
15.427096133039482,5,PASS
9.838453830739901,11,FAIL
5.740762178193643,2,FAIL
12.844772089889986,11,FAIL
7.971954678256344,5,FAIL
8.822811209079482,6,FAIL
10.371987850010264,10,FAIL
13.099102211112378,9,FAIL
11.529390285561771,9,FAIL
12.580926193215522,2,PASS
11.59210220131585,6,FAIL
16.633425895451047,2,PASS
14.196420028643194,1,PASS
15.183382833106041,11,FAIL
11.227044436110049,9,FAIL
15.119396623402013,3,PASS
12.104450052424294,11,FAIL
17.124687884372964,7,FAIL
7.86835775985572,8,FAIL
5.922599478591275,6,FAIL
15.51591613398799,0,PASS
13.250878533477017,2,PASS
15.56228612001359,11,FAIL
13.479681472154141,8,FAIL
9.507320302847418,11,FAIL
9.978650002194335,0,FAIL
15.61121889235095,8,FAIL
13.02789533779965,7,FAIL
12.157480918470686,0,PASS
17.198632791255182,5,PASS
6.899555389416335,4,FAIL
6.398248146238577,5,FAIL
7.987582033258565,9,FAIL
9.520006151139432,11,FAIL
20.0,4,PASS
9.307472566441433,5,FAIL
5.008674068497433,4,FAIL
11.876792920582163,10,FAIL
18.18323429551895,11,FAIL
13.84869789082672,4,PASS
16.320945051068982,3,PASS
11.573648890700623,2,PASS
17.800366723779934,2,PASS
13.038495801571829,3,PASS
15.665729142219343,8,FAIL
16.161951080144004,1,PASS
15.409604292632876,8,FAIL
17.610711965907303,0,PASS
3.83809898989639,0,FAIL
10.763418537998566,4,PASS
6.52114777291026,5,FAIL
7.728325227052725,5,FAIL
20.0,2,PASS
7.45478793305905,6,FAIL
17.939933269954526,8,FAIL
10.696110865929137,10,FAIL
14.461909933599173,11,FAIL
10.14620677323084,9,FAIL
19.444745628232443,7,FAIL
15.915349591529381,5,PASS
16.227737023428077,11,FAIL
10.293155211394906,7,FAIL
17.998589543360207,11,FAIL
11.399674684261809,4,PASS
16.00470312748503,7,FAIL
8.12202960470736,9,FAIL
11.570276017876873,11,FAIL
17.79319601178157,3,PASS
10.179025224218028,9,FAIL
13.143276751759727,7,FAIL
20.0,9,FAIL
15.671868300716248,11,FAIL
